"phenotype","desc","covariates","beta","SE","OR","p","n_total","n_cases","n_controls","formula","genTRUE","p_short","CIpos","CIneg"
"I44.0","Atrioventricular block, first degree","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",-0.661247823087495,0.503276288025624,0.516206797681307,0.188884467633766,425182,3676,421506,"`I440` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",4,0.19,1.38427107498157,0.1924980322051
"I44.1","Atrioventricular block, second degree","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",0.75739400746716,0.412323623685906,2.13271114305764,0.0662258255992548,425182,1360,423822,"`I441` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",6,0.066,4.78529804294268,0.950506484424782
"I44.7","Left bundle-branch block, unspecified","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",0.125889018645886,0.292820147885074,1.13415629109718,0.667254381255937,425182,4965,420217,"`I447` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",12,0.67,2.0133832348654,0.63888010506917
"I45.1","Other and unspecified right bundle-branch block ","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",0.0792108413601094,0.305906587259471,1.08243251955739,0.795683074323117,425182,4921,420261,"`I451` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",11,0.8,1.97148635342897,0.594302951860408
"I46.0","Cardiac arrest with successful resuscitation ","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",0.173641795182294,0.502571704351744,1.18962935852266,0.72971361761494,425182,1718,423464,"`I460` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",4,0.73,3.18573278298388,0.444236258049706
"I47.1","Supraventricular tachycardia","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",-0.452004335697429,0.410365740339652,0.636351410691931,0.270693443607853,425182,4609,420573,"`I471` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",6,0.27,1.42235296142773,0.284699458482609
"I48.0","Paroxysmal atrial fibrillation","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",-0.819255484528221,0.411218316390646,0.440759684783697,0.0463420896405823,425182,6037,419145,"`I480` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",6,0.046,0.986820042036905,0.196863755755944
"I48.9","Unspecified atrial fibrillation","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",-0.506125549601113,0.197000255995284,0.602826682103076,0.0101944820496878,425182,20057,405125,"`I489` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",28,0.01,0.886915959686815,0.409734433895773
"I49.5","Sick sinus syndrome","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",0.634821758497567,0.450722537213977,1.88668582577072,0.158996811469923,425182,1187,423995,"`I495` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",5,0.16,4.56417571481351,0.77989622389233
"I49.8","Other specified cardiac arrhythmias","sex,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,age,age_sq,sex_age",0.724344079752704,0.502996771344662,2.06337724509175,0.149851240561212,425182,938,424244,"`I498` ~ `genotype` + `sex` + `pc1` + `pc2` + `pc3` + `pc4` + `pc5` + `pc6` + `pc7` + `pc8` + `pc9` + `pc10` + `age` + `age_sq` + `sex_age`",4,0.15,5.53016554885654,0.769873092938914
